year,area,chapter,gender,value
2002,22UL,XVII,F,1
2002,22UL,XVIII,M,3
2002,22UL,XVIII,F,21
2002,22UL,XX,M,9
2002,22UL,XX,F,6
2002,22UN,I,M,6
2002,22UN,I,F,6
2002,22UN,II,M,292
2002,22UN,II,F,273
2002,22UN,III,M,4
2002,22UN,III,F,5
2002,22UN,IV,M,18
2002,22UN,IV,F,21
2002,22UN,V,M,19
2002,22UN,V,F,58
2002,22UN,VI,M,24
2002,22UN,VI,F,22
2002,22UN,VII,M,0
2002,22UN,VII,F,0
2002,22UN,VIII,M,0
2002,22UN,VIII,F,0
2002,22UN,IX,M,454
2002,22UN,IX,F,447
2002,22UN,X,M,128
2002,22UN,X,F,154
2002,22UN,XI,M,53
2002,22UN,XI,F,71
2002,22UN,XII,M,0
2002,22UN,XII,F,9
2002,22UN,XIII,M,3
2002,22UN,XIII,F,24
2002,22UN,XIV,M,10
2002,22UN,XIV,F,18
2002,22UN,XV,F,1
2002,22UN,XVI,M,0
2002,22UN,XVI,F,0
2002,22UN,XVII,M,2
2002,22UN,XVII,F,3
2002,22UN,XVIII,M,17
2002,22UN,XVIII,F,96
2002,22UN,XX,M,24
2002,22UN,XX,F,19
2002,22UQ,I,M,1
2002,22UQ,I,F,1
2002,22UQ,II,M,87
2002,22UQ,II,F,83
2002,22UQ,III,M,0
2002,22UQ,III,F,1
2002,22UQ,IV,M,3
2002,22UQ,IV,F,3
2002,22UQ,V,M,5
2002,22UQ,V,F,6
2002,22UQ,VI,M,10
2002,22UQ,VI,F,12
2002,22UQ,VII,M,0
2002,22UQ,VII,F,0
2002,22UQ,VIII,M,0
2002,22UQ,VIII,F,0
2002,22UQ,IX,M,95
2002,22UQ,IX,F,137
2002,22UQ,X,M,41
2002,22UQ,X,F,49
2002,22UQ,XI,M,7
2002,22UQ,XI,F,17
2002,22UQ,XII,M,1
2002,22UQ,XII,F,1
2002,22UQ,XIII,M,5
2002,22UQ,XIII,F,1
2002,22UQ,XIV,M,3
2002,22UQ,XIV,F,4
2002,22UQ,XV,F,0
2002,22UQ,XVI,M,0
2002,22UQ,XVI,F,0
2002,22UQ,XVII,M,0
2002,22UQ,XVII,F,0
2002,22UQ,XVIII,M,2
2002,22UQ,XVIII,F,12
2002,22UQ,XX,M,11
2002,22UQ,XX,F,4
2002,26UB,I,M,3
2002,26UB,I,F,2
2002,26UB,II,M,126
2002,26UB,II,F,99
2002,26UB,III,M,0
2002,26UB,III,F,2
2002,26UB,IV,M,3
2002,26UB,IV,F,5
2002,26UB,V,M,6
2002,26UB,V,F,9
2002,26UB,VI,M,6
2002,26UB,VI,F,7
2002,26UB,VII,M,0
2002,26UB,VII,F,0
2002,26UB,VIII,M,0
2002,26UB,VIII,F,0
2002,26UB,IX,M,130
2002,26UB,IX,F,145
2002,26UB,X,M,40
2002,26UB,X,F,67
2002,26UB,XI,M,13
2002,26UB,XI,F,13
2002,26UB,XII,M,0
2002,26UB,XII,F,3
2002,26UB,XIII,M,2
2002,26UB,XIII,F,0
2002,26UB,XIV,M,5
2002,26UB,XIV,F,7
2002,26UB,XV,F,0
2002,26UB,XVI,M,1
2002,26UB,XVI,F,0
2002,26UB,XVII,M,0
2002,26UB,XVII,F,1
2002,26UB,XVIII,M,2
2002,26UB,XVIII,F,6
2002,26UB,XX,M,8
2002,26UB,XX,F,4
2002,26UC,I,M,4
2002,26UC,I,F,6
2002,26UC,II,M,180
2002,26UC,II,F,165
2002,26UC,III,M,0
2002,26UC,III,F,3
2002,26UC,IV,M,4
2002,26UC,IV,F,7
2002,26UC,V,M,10
2002,26UC,V,F,21
2002,26UC,VI,M,8
2002,26UC,VI,F,9
2002,26UC,VII,M,0
2002,26UC,VII,F,0
2002,26UC,VIII,M,0
2002,26UC,VIII,F,0
2002,26UC,IX,M,191
2002,26UC,IX,F,224
2002,26UC,X,M,84
2002,26UC,X,F,96
2002,26UC,XI,M,27
2002,26UC,XI,F,40
2002,26UC,XII,M,2
2002,26UC,XII,F,2
2002,26UC,XIII,M,4
2002,26UC,XIII,F,6
2002,26UC,XIV,M,11
2002,26UC,XIV,F,16
2002,26UC,XV,F,0
2002,26UC,XVI,M,0
2002,26UC,XVI,F,0
2002,26UC,XVII,M,2
2002,26UC,XVII,F,1
2002,26UC,XVIII,M,5
2002,26UC,XVIII,F,17
2002,26UC,XX,M,25
2002,26UC,XX,F,22
2002,26UD,I,M,4
2002,26UD,I,F,3
2002,26UD,II,M,141
2002,26UD,II,F,134
2002,26UD,III,M,1
2002,26UD,III,F,1
2002,26UD,IV,M,8
2002,26UD,IV,F,6
2002,26UD,V,M,7
2002,26UD,V,F,13
2002,26UD,VI,M,17
2002,26UD,VI,F,15
2002,26UD,VII,M,0
2002,26UD,VII,F,0
2002,26UD,VIII,M,0
2002,26UD,VIII,F,0
2002,26UD,IX,M,187
2002,26UD,IX,F,210
2002,26UD,X,M,78
2002,26UD,X,F,101
